method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
GroupDRO,42,g0,303,38946,0.79538,0.79114,0.51944,0.38184,0.1376
GroupDRO,42,g1,294,38946,0.78571,0.74704,0.55126,0.37567,0.17558
GroupDRO,42,g2,123,38946,0.93496,0.48315,0.24795,0.07576,0.17219
GroupDRO,42,g3,200,38946,0.755,0.47768,0.54139,0.42112,0.12027
GroupDRO,1337,g0,303,38946,0.75578,0.75297,0.52197,0.38184,0.14013
GroupDRO,1337,g1,294,38946,0.73469,0.65249,0.56223,0.37567,0.18656
GroupDRO,1337,g2,123,38946,0.93496,0.48315,0.35866,0.07576,0.2829
GroupDRO,1337,g3,200,38946,0.745,0.46308,0.60035,0.42112,0.17923
GroupDRO,7,g0,303,38946,0.77558,0.76817,0.5016,0.38184,0.11976
GroupDRO,7,g1,294,38946,0.77891,0.74103,0.51502,0.37567,0.13935
GroupDRO,7,g2,123,38946,0.93496,0.48315,0.2549,0.07576,0.17914
GroupDRO,7,g3,200,38946,0.75,0.46735,0.59148,0.42112,0.17036
GroupDRO,2024,g0,303,38946,0.78218,0.77496,0.534,0.38184,0.15216
GroupDRO,2024,g1,294,38946,0.78912,0.74706,0.50018,0.37567,0.12451
GroupDRO,2024,g2,123,38946,0.93496,0.48315,0.26893,0.07576,0.19317
GroupDRO,2024,g3,200,38946,0.75,0.46735,0.61383,0.42112,0.19271
GroupDRO,31337,g0,303,38946,0.78218,0.77851,0.49576,0.38184,0.11391
GroupDRO,31337,g1,294,38946,0.78231,0.73981,0.54822,0.37567,0.17254
GroupDRO,31337,g2,123,38946,0.93496,0.48315,0.27621,0.07576,0.20045
GroupDRO,31337,g3,200,38946,0.76,0.50358,0.5528,0.42112,0.13168
GroupDRO,11,g0,303,38946,0.78878,0.78502,0.52957,0.38184,0.14773
GroupDRO,11,g1,294,38946,0.78912,0.75054,0.52923,0.37567,0.15355
GroupDRO,11,g2,123,38946,0.93496,0.48315,0.28264,0.07576,0.20688
GroupDRO,11,g3,200,38946,0.755,0.51441,0.61025,0.42112,0.18913
GroupDRO,22,g0,303,38946,0.74917,0.74596,0.52787,0.38184,0.14603
