method,seed,group,auroc,accuracy
FlexMoE,7,g1,0.6111704442071121,0.8339622641509434
FlexMoE,7,g2,0.7083701870089061,0.6963216424294268
FlexMoE,2024,g0,0.77318763326226,0.6848030018761726
FlexMoE,2024,g1,0.6156797595031842,0.7867924528301887
FlexMoE,2024,g2,0.706223274901707,0.7172797262617622
FlexMoE,31337,g0,0.7558302238805971,0.6585365853658537
FlexMoE,31337,g1,0.5731972627665045,0.7094339622641509
FlexMoE,31337,g2,0.7037281079273494,0.7087254063301968
FlexMoE,11,g0,0.794842750533049,0.7073170731707317
FlexMoE,11,g1,0.525770341363079,0.769811320754717
FlexMoE,11,g2,0.6563100418103712,0.7416595380667237
FlexMoE,22,g0,0.7367404051172708,0.7223264540337712
FlexMoE,22,g1,0.6056722439776907,0.7641509433962265
FlexMoE,22,g2,0.704972723333274,0.73267750213858
FlexMoE,33,g0,0.7533981876332622,0.6641651031894934
FlexMoE,33,g1,0.6256477196313436,0.7471698113207547
FlexMoE,33,g2,0.7045908302119012,0.7348160821214713
FlexMoE,44,g0,0.7818163646055437,0.8799249530956847
FlexMoE,44,g1,0.4956291285945967,0.9
FlexMoE,44,g2,0.6838498784076047,0.8892215568862275
FlexMoE,55,g0,0.6791211353944563,0.874296435272045
FlexMoE,55,g1,0.4698390095328507,0.8547169811320755
FlexMoE,55,g2,0.5132890891354376,0.850727117194183
REMIND,42,g0,0.7424040511727079,0.7129455909943715
REMIND,42,g1,0.6150073177485067,0.7943396226415095
REMIND,42,g2,0.7017098126744984,0.718562874251497
REMIND,1337,g0,0.763692697228145,0.724202626641651
REMIND,1337,g1,0.599462046596258,0.7415094339622641
REMIND,1337,g2,0.7023232161336982,0.7181351582549187
REMIND,7,g0,0.790644989339019,0.7054409005628518
REMIND,7,g1,0.5789327953799296,0.8245283018867925
REMIND,7,g2,0.7019630889415228,0.7335329341317365
REMIND,2024,g0,0.7668909914712154,0.6866791744840526
REMIND,2024,g1,0.6371187848581938,0.7754716981132076
REMIND,2024,g2,0.7105170991161054,0.7292557741659538
REMIND,31337,g0,0.7408049040511727,0.7429643527204502
REMIND,31337,g1,0.6268343815513627,0.720754716981132
REMIND,31337,g2,0.7015495362867721,0.7510692899914457
REMIND,11,g0,0.7604277718550106,0.7373358348968105
REMIND,11,g1,0.6151655393378426,0.8113207547169812
REMIND,11,g2,0.7109642900250703,0.743798118049615
REMIND,22,g0,0.790844882729211,0.7504690431519699
REMIND,22,g1,0.5192041454056406,0.8830188679245283
REMIND,22,g2,0.7065101894229456,0.7929854576561164
REMIND,33,g0,0.7291111407249466,0.7185741088180112
REMIND,33,g1,0.6441596455836399,0.7886792452830189
REMIND,33,g2,0.6898493599827455,0.7236954662104362
REMIND,44,g0,0.7840151918976546,0.7035647279549718
REMIND,44,g1,0.6035758079189906,0.8603773584905661
REMIND,44,g2,0.7112413109421283,0.7305389221556886
REMIND,55,g0,0.7683901918976547,0.7560975609756098
REMIND,55,g1,0.6352596811834975,0.7528301886792453
REMIND,55,g2,0.7067990826650203,0.7211291702309667
SoftMoE_ERM,42,g0,0.7427705223880597,0.6529080675422139
SoftMoE_ERM,42,g1,0.6104980024524346,0.7283018867924528
SoftMoE_ERM,42,g2,0.7025943008882478,0.7155688622754491
SoftMoE_ERM,1337,g0,0.7691231343283582,0.6435272045028143
SoftMoE_ERM,1337,g1,0.6243028361219888,0.7320754716981132
SoftMoE_ERM,1337,g2,0.7029484919179148,0.7395209580838323
SoftMoE_ERM,7,g0,0.756096748400853,0.6848030018761726
SoftMoE_ERM,7,g1,0.6214152921166093,0.7415094339622641
SoftMoE_ERM,7,g2,0.7011478559570381,0.7301112061591104
SoftMoE_ERM,2024,g0,0.7787180170575693,0.6660412757973734
SoftMoE_ERM,2024,g1,0.6172619753965428,0.7264150943396226
SoftMoE_ERM,2024,g2,0.707626187974522,0.6967493584260052
SoftMoE_ERM,31337,g0,0.7584621535181236,0.6848030018761726
SoftMoE_ERM,31337,g1,0.6250148332740002,0.7490566037735849
SoftMoE_ERM,31337,g2,0.7070919333487673,0.7459366980325064
SoftMoE_ERM,11,g0,0.7732875799573561,0.6604127579737336
SoftMoE_ERM,11,g1,0.5960998378228709,0.6943396226415094
SoftMoE_ERM,11,g2,0.7087045908302119,0.7296834901625321
SoftMoE_ERM,22,g0,0.7903784648187633,0.7373358348968105
SoftMoE_ERM,22,g1,0.5394565088406312,0.8924528301886793
SoftMoE_ERM,22,g2,0.7047906810163502,0.7882805816937554
SoftMoE_ERM,33,g0,0.7859474946695095,0.724202626641651
SoftMoE_ERM,33,g1,0.5360547446699102,0.8283018867924529
SoftMoE_ERM,33,g2,0.6937434825882459,0.6822070145423439
SoftMoE_ERM,44,g0,0.73051039445629,0.6641651031894934
SoftMoE_ERM,44,g1,0.621731735295281,0.6584905660377358
SoftMoE_ERM,44,g2,0.7010598028798303,0.7288280581693756
SoftMoE_ERM,55,g0,0.7888792643923241,0.6529080675422139
SoftMoE_ERM,55,g1,0.5604208694276334,0.879245283018868
SoftMoE_ERM,55,g2,0.701134004911185,0.7771599657827203
